Date,Open,High,Low,Close,Adj Close,EMA_20,WMA_20,ATR_14,RSI_14,Stoch_%K,Stoch_%D,ROC_20,ADX_14,CCI,RS
2013-02-21,1.327316,1.328904,1.317171,1.327316,1.327316,1.3388586881474007,1.341854780952381,0.011558537317627297,40.16184352123637,17.898399430659193,13.929163688826515,-0.26546963629983633,18.39500212355161,-158.4533611932275,0.41843971631205645
2013-02-22,1.319435,1.32433,1.3149,1.319435,1.319435,1.3370088130857436,1.339425119047619,0.011627220104670767,35.622332167252665,17.991660175708766,16.566577457607,-1.3088903416324331,19.028583073596185,-187.02597305201945,0.3112940142179378
2013-02-25,1.319435,1.331203,1.318287,1.319592,1.319592,1.3353500689823394,1.337093738095238,0.011729563943232529,35.77806560043919,13.975543384286516,16.62186766355149,-2.0057893869161028,18.334696724571064,-128.03652277572124,0.3958982992481518
2013-02-26,1.306506,1.311596,1.302,1.306506,1.306506,1.3326030147935453,1.3336446904761905,0.012191421364756642,29.395208639164444,9.581195008598279,13.849466189531187,-2.835133583414892,19.461024367451355,-205.50653170689495,0.20993925669783262
2013-02-27,1.306933,1.312612,1.304291,1.306592,1.306592,1.330125775289398,1.3303853666666665,0.011888725862507632,29.48424361464155,9.273838004822759,10.94352546590252,-3.1554355141406125,20.291525341099476,-147.62570353767364,0.23162998255268205
2013-02-28,1.315097,1.316001,1.305995,1.315097,1.315097,1.3286944633570743,1.3281387666666666,0.011742474222877658,37.833426090716806,14.541082122854036,11.132038378758358,-3.0760579407650552,20.48014238539669,-97.01889634290693,0.48342505524981805
2013-03-01,1.306165,1.31,1.29705,1.305995,1.305995,1.3265326097040195,1.325224057142857,0.012229171848373695,33.29059547195062,17.28262173468815,13.699180620788317,-4.048563661744175,21.465191357599725,-118.26682991500358,0.4198404335390675
2013-03-04,1.301744,1.302932,1.298364,1.301693,1.301693,1.324166932589351,1.322162038095238,0.01187623783690085,31.373132381140405,17.035883178576697,16.286529012039626,-4.628862361351363,22.3473950375765,-116.44141872275421,0.32695052745187114
2013-03-05,1.303594,1.30736,1.301406,1.303611,1.303611,1.3222092247236985,1.3195835333333334,0.011424083257117532,33.21991300818339,12.782103693707697,15.700202868990848,-3.5197669573532244,22.420010887067267,-87.04133790166748,0.27591129060335395
2013-03-06,1.304802,1.307039,1.299,1.304853,1.304853,1.3205562509404891,1.317349780952381,0.011166902221223471,34.45004359467622,12.948782180118558,14.25558968413432,-3.923669248134578,22.71915682186433,-77.98603739876185,0.30152065765798003
2013-03-07,1.297858,1.311321,1.297673,1.297858,1.297858,1.3183945127556806,1.314703595238095,0.01135455004727423,30.987884853556828,10.703595902263658,12.144827258696639,-4.032481682469519,22.31113070628107,-75.2383131024645,0.31346513589847474
2013-03-08,1.311131,1.313431,1.296,1.311131,1.311131,1.317702749636092,1.3135811952380954,0.011812194633665259,42.745806484991434,16.833383401836137,13.495253828072785,-2.0768683263389933,21.62002330632261,-43.01894320958287,0.5661415120723453
2013-03-11,1.29887,1.302423,1.298533,1.298802,1.298802,1.3159026782421783,1.3114170238095235,0.011871148058778022,36.521422833878226,13.19219705142031,13.576392118506703,-2.844421903507333,20.99300159300766,-82.38060680718702,0.4554757140258347
2013-03-12,1.303237,1.307301,1.29938,1.303271,1.303271,1.3146996612667328,1.3098595428571427,0.011619065689079937,39.93560828010296,19.495941002503006,16.507173818586487,-2.76687479529707,19.67307939888525,-53.70895878872459,0.4494875992965896
2013-03-13,1.302932,1.306506,1.292507,1.302932,1.302932,1.3135789316222821,1.3084463761904763,0.011796386163485698,39.760909344802464,17.83555038365915,16.84122947919416,-3.1426390139212823,19.310708263969243,-81.27192897121066,0.548728578302554
2013-03-14,1.29584,1.29801,1.291281,1.29584,1.29584,1.3118895095630172,1.3065590904761906,0.011785587193484603,36.19378933447809,19.671675764861536,19.0010557170079,-3.6153898219862772,19.119590279229616,-149.18631379833946,0.5568597990421689
